detect_id,lat,lon,confidence,matched_mmsi,match_confidence,time_gap_minutes,distance_meters,position_score,heading_score,size_score,speed_score,type_score,temporal_score,is_dark_ship,is_ambiguous
0,37.22610431396171,-76.1269567657521,0.9110278487205504,232018783,0.7533247790235069,0.0,10.955364083035619,0.9863991339690046,0.5,0.5313926628429972,0.9248659286730555,0.2,1.0,False,False
1,36.82512162168251,-75.67233673779087,0.8584004044532776,538006153,0.5463285269333877,0.0,403.40524085106017,0.6039544178300973,0.22941510696103626,0.7212392391296434,0.5461589058321286,0.2,1.0,False,False
2,36.449509846172354,-76.01262914677451,0.8394549489021301,366977020,0.729955973783226,62.083333333333336,54.240899967012574,0.9798339416201719,0.5,0.6600047647899255,0.8970864895748119,0.2,0.12625590439381817,False,False
3,37.270034887100735,-77.06109882796433,0.8312159180641174,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
4,36.00027175450564,-76.58270915743306,0.8128610849380493,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
5,36.1577262387155,-76.38708064917566,0.8077787756919861,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
6,35.981288488845294,-76.58876960312654,0.7956789135932922,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
7,36.835548564835136,-76.5417740182852,0.765998125076294,UNKNOWN,0.0,77.35,13788.662404700413,0.0028087494304572663,0.1376097727196054,0.5799074518195421,0.36353840849280783,0.2,0.07590039932971446,True,False
8,36.128671765910255,-75.74397255982625,0.7559840083122253,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
9,36.207476567185054,-76.7168724271616,0.7310044169425964,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
10,36.10526895236237,-76.24689751860546,0.7281164526939392,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
11,36.08733427808022,-75.76773322328884,0.634984016418457,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
12,36.220127377732645,-75.76780814203809,0.6057044863700867,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
13,35.949396961101264,-76.5992635545997,0.5956999659538269,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
14,36.267733886637686,-76.10470336977866,0.5772460699081421,UNKNOWN,0.0,0.0,9739.279833887675,5.162447380544915e-06,0.5,0.0,0.8593464886481305,1.0,1.0,True,False
15,35.96217591109573,-76.59510857359662,0.5571081638336182,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
16,35.94636898563236,-76.60024517391692,0.5044785141944885,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
17,36.06446355323865,-76.68880845979591,0.4673335552215576,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
18,36.029647380962274,-76.59571165962129,0.4532886743545532,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
19,35.95580767030858,-76.59708694105862,0.3665993213653564,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
20,36.10624259819307,-75.74176146797984,0.3438107967376709,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
