detect_id,lat,lon,confidence,matched_mmsi,match_confidence,time_gap_minutes,distance_meters,position_score,heading_score,size_score,speed_score,type_score,temporal_score,is_dark_ship,is_ambiguous
0,37.2363401934101,-76.08861027771637,0.9246350526809692,354048000,0.7433548399162797,0.0,21.799401745108664,0.973118659344935,0.5,0.5296531944344041,0.881767372914248,0.2,1.0,False,False
1,37.05100867017001,-76.55382764495656,0.9224032163619996,UNKNOWN,0.0,77.35,10204.908878437334,0.012931809659303203,0.13309838775807187,0.4944666531040899,0.41867211996194154,0.2,0.07590039932971446,True,False
2,37.17630512070626,-76.15395760160492,0.9191118478775024,636017540,0.6992651823384879,0.1,127.53840164178769,0.8529746603346963,0.8324906126116027,0.5227910324258034,0.27185378394401916,0.2,0.9966722160545233,False,False
3,37.27996982564887,-76.09779543190653,0.9178184270858764,538004260,0.7410055417650661,1.0833333333333333,28.658327355665044,0.9657229483352914,0.5,0.5465127244491217,0.871871616819932,0.2,0.9645331171826408,False,False
4,36.94122469603679,-76.3833638790745,0.905308961868286,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
5,35.98139371390789,-76.58881133942265,0.8962944746017456,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
6,37.46140779000139,-76.13849530011152,0.8930129408836365,UNKNOWN,0.0,37.4,2557.8823979245058,0.431579725609128,0.7125616182039599,0.0,0.5739362454606599,1.0,0.2874614063130629,True,False
7,37.00325516483888,-76.46807233260505,0.8858731985092163,UNKNOWN,0.0,77.35,8353.874056437251,0.02845635074957249,0.13309838775807187,0.5322519580905444,0.3876472353446309,0.2,0.07590039932971446,True,False
8,36.52667729886888,-75.81995281857886,0.8854292631149292,367635620,0.7662208555415827,0.0,45.24902161976197,0.9450085754070974,0.5,0.7076655392501211,0.8668431752871942,0.2,1.0,False,False
9,36.91656807756512,-75.55232460205724,0.8833352327346802,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
10,35.99395589143036,-76.5848484403857,0.8827049136161804,UNKNOWN,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,True,False
11,37.39028830720833,-76.1891692282908,0.8817898631095886,UNKNOWN,0.0,37.4,9609.47653293921,0.04255924147683605,0.7125616182039599,0.8611396485194734,0.6493003691818339,1.0,0.2874614063130629,True,False
